450	0.125135135
451	0.109716216
452	0.112689189
453	0.123351351
454	0.139810811
455	0.158540541
456	0.208351351
457	0.182459459
458	0.12677027
459	0.047432432
460	-0.101391892
461	-0.141540541
462	-0.139608108
463	-0.096081081
464	0.030675676
465	0.096405405
466	0.152108108
467	0.194108108
468	0.21027027
469	0.233702703
470	0.253351351
471	0.272324324
472	0.278432432
473	0.31972973
474	0.379918919
475	0.458702703
476	0.573405405
477	0.666297297
478	0.756932432
479	0.843959459
480	0.916445946
481	1.006067568
482	1.101445946
483	1.202986486
484	1.311324324
485	1.423527027
486	1.539148649
487	1.656648649
488	1.774986486
489	1.88872973
490	1.996310811
491	2.094756757
492	2.193418919
493	2.256621622
494	2.295513514
495	2.310567568
496	2.286162162
497	2.271986486
498	2.253689189
499	2.233432432
500	2.221472973
501	2.194878378
502	2.162621622
503	2.125364865
504	2.077918919
505	2.037527027
506	1.999189189
507	1.963121622
508	1.936202703
509	1.899621622
510	1.859527027
511	1.815783784
512	1.765702703
513	1.718378378
514	1.671743243
515	1.627216216
516	1.581540541
517	1.546283784
518	1.518108108
519	1.496783784
520	1.489797297
521	1.475081081
522	1.458621622
523	1.440256757
524	1.412932432
525	1.394743243
526	1.380121622
527	1.368986486
528	1.364743243
529	1.357135135
530	1.348702703
531	1.338648649
532	1.328662162
533	1.312378378
534	1.291891892
535	1.267675676
536	1.230878378
537	1.206959459
538	1.188148649
539	1.173743243
540	1.177297297
541	1.160310811
542	1.134256757
543	1.098486486
544	1.043081081
545	0.997027027
546	0.953094595
547	0.912621622
548	0.875716216
549	0.84622973
550	0.822878378
551	0.804864865
552	0.800472973
553	0.783581081
554	0.761459459
555	0.733337838
556	0.693878378
557	0.657837838
558	0.621635135
559	0.586743243
560	0.546594595
561	0.521837838
562	0.505675676
563	0.497013514
564	0.512986486
565	0.501040541
566	0.476945946
567	0.440472973
568	0.373067568
569	0.3295
570	0.293932432
571	0.267783784
572	0.262189189
573	0.247567568
574	0.233054054
575	0.217959459
576	0.201067568
577	0.184418919
578	0.167648649
579	0.151581081
580	0.128837838
581	0.123067568
582	0.12627027
583	0.137594595
584	0.168972973
585	0.181851351
586	0.187756757
587	0.186189189
588	0.164891892
589	0.158851351
590	0.156094595
591	0.15622973
592	0.17172973
593	0.164391892
594	0.147743243
595	0.1225
596	0.075527027
597	0.051391892
598	0.035743243
599	0.028932432
600	0.043256757
601	0.041959459
602	0.038067568
603	0.032027027
604	0.017283784
605	0.017418919
606	0.02527027
607	0.042081081
608	0.072189189
609	0.106108108
610	0.148513514
611	0.200324324
612	0.256148649
613	0.335418919
614	0.429878378
615	0.538054054
616	0.665337838
617	0.784837838
618	0.903972973
619	1.02077027
620	1.13377027
621	1.242905405
622	1.347743243
623	1.441648649
624	1.541594595
625	1.643594595
626	1.747783784
627	1.86227027
628	1.96627027
629	2.065027027
630	2.158486486
631	2.232351351
632	2.322689189
633	2.418756757
634	2.519297297
635	2.639527027
636	2.73127027
637	2.805175676
638	2.858162162
639	2.883472973
640	2.893837838
641	2.885554054
642	2.859662162
643	2.81672973
644	2.761324324
645	2.695040541
646	2.620702703
647	2.534527027
648	2.456675676
649	2.383432432
650	2.316081081
651	2.260337838
652	2.202635135
653	2.147567568
654	2.094810811
655	2.043256757
656	1.994256757
657	1.946635135
658	1.899675676
659	1.855905405
660	1.805891892
661	1.752864865
662	1.6975
663	1.636
664	1.583121622
665	1.534027027
666	1.489243243
667	1.453081081
668	1.411810811
669	1.371594595
670	1.322864865
671	1.291243243
672	1.270621622
673	1.261
674	1.275486486
675	1.277797297
676	1.276364865
677	1.269972973
678	1.244783784
679	1.236094595
680	1.233662162
681	1.237067568
682	1.261351351
683	1.263702703
684	1.256608108
685	1.240256757
686	1.197202703
687	1.180189189
688	1.172972973
689	1.175918919
690	1.203432432
691	1.209324324
692	1.207581081
693	1.197054054
694	1.171594595
695	1.149905405
696	1.126567568
697	1.102756757
698	1.077689189
699	1.058189189
700	1.042540541
701	1.030702703
702	1.025135135
703	1.017216216
704	1.010054054
705	1.000513514
706	0.99422973
707	0.989391892
708	0.985094595
709	0.989121622
710	0.979621622
711	0.962743243
712	0.939067568
713	0.897594595
714	0.872891892
715	0.856554054
716	0.849851351
